model,protocol,seed,top1,top3,balanced,macro_f1,seconds
Majority baseline,random,0,0.20996818663838812,0.47295864262990456,0.09090909090909091,0.03155127081507449,0.005387067794799805
Logistic Regression,random,0,0.6680805938494168,0.9204665959703076,0.7073274327493485,0.6994273768657866,0.48896193504333496
k-NN (k=5),random,0,0.7762460233297985,0.9607635206786851,0.7510453449021423,0.7745832225028729,0.08708930015563965
SVM (RBF),random,0,0.8960763520678685,,0.896257671282256,0.8981566925577261,1.1127982139587402
MLP (sklearn),random,0,0.8738069989395546,0.9840933191940615,0.8711417149216552,0.8723617811340265,8.662369012832642
Gradient Boosting,random,0,0.9660657476139979,0.9978791092258749,0.9606095656916189,0.96440941987072,10.895225763320923
Extra Trees,random,0,0.9236479321314952,0.9915164369034994,0.9120770514463419,0.9222985526669362,0.40994834899902344
Random Forest,random,0,0.8960763520678685,0.985153764581124,0.8862223048359656,0.8954527448197588,1.611313819885254
Majority baseline,block,0,0.21052631578947367,0.47368421052631576,0.09090909090909091,0.03162055335968379,0.0016551017761230469
Logistic Regression,block,0,0.5906432748538012,0.8807017543859649,0.5962962962962963,0.6003949313215213,0.7529983520507812
k-NN (k=5),block,0,0.45497076023391814,0.7368421052631579,0.3905723905723905,0.41439561039861306,0.13694429397583008
SVM (RBF),block,0,0.560233918128655,,0.5116161616161615,0.5371358070243679,0.941612958908081
MLP (sklearn),block,0,0.5684210526315789,0.8713450292397661,0.5279461279461279,0.5425839941576199,9.791086196899414
Gradient Boosting,block,0,0.6573099415204678,0.8853801169590644,0.5962962962962964,0.6315129514770373,8.976420164108276
Extra Trees,block,0,0.5789473684210527,0.8608187134502924,0.49141414141414136,0.5235296187873826,0.37247800827026367
Random Forest,block,0,0.6187134502923977,0.8421052631578947,0.5434343434343434,0.5729530770153994,1.4230551719665527
