model,protocol,seed,top1,top3,balanced,macro_f1,seconds
Majority baseline,random,0,0.2064343163538874,0.4745308310991957,0.09090909090909091,0.031111111111111114,0.0033750534057617188
Logistic Regression,random,0,0.6863270777479893,0.9436997319034852,0.7260850856186406,0.7219794464614989,0.06399297714233398
k-NN (k=5),random,0,0.8230563002680965,0.9812332439678284,0.8297512364133268,0.8411408034960982,0.06245088577270508
SVM (RBF),random,0,0.9329758713136729,nan,0.9335828511425927,0.9341512358295987,0.22881269454956055
MLP (sklearn),random,0,0.9061662198391421,0.9865951742627346,0.9108602666666511,0.9117252268529307,1.2268719673156738
Gradient Boosting,random,0,0.9651474530831099,0.9919571045576407,0.9610739832399106,0.9613593279718015,6.320488214492798
Extra Trees,random,0,0.9624664879356568,0.9946380697050938,0.9557896198020558,0.961146857454843,0.2634718418121338
Random Forest,random,0,0.9249329758713136,0.9919571045576407,0.9116326261045636,0.922334721843319,0.47509312629699707
PointNetLite,random,0,0.42359249329758714,0.7426273458445041,0.45492698429126127,0.40184581981890644,1.0930821895599365
TemporalPointNet (OURS),random,0,0.4477211796246649,0.8257372654155496,0.3597048682573863,0.34189379658398594,0.673457145690918
TemporalPointNet-attn,random,0,0.5093833780160858,0.8552278820375335,0.5642244963939409,0.5012354105951602,0.76546311378479
TemporalPointNet-mean (ABLATION),random,0,0.4316353887399464,0.7533512064343163,0.4366386481255333,0.3568066731987623,0.4973480701446533
