model,protocol,n_seeds,top1_mean,top1_std,top3_mean,balanced_mean,macro_f1_mean
Gradient Boosting,random,1,0.9651474530831099,0.0,0.9919571045576407,0.9610739832399106,0.9613593279718015
Extra Trees,random,1,0.9624664879356568,0.0,0.9946380697050938,0.9557896198020558,0.961146857454843
SVM (RBF),random,1,0.9329758713136729,0.0,nan,0.9335828511425927,0.9341512358295987
Random Forest,random,1,0.9249329758713136,0.0,0.9919571045576407,0.9116326261045636,0.922334721843319
MLP (sklearn),random,1,0.9061662198391421,0.0,0.9865951742627346,0.9108602666666511,0.9117252268529307
k-NN (k=5),random,1,0.8230563002680965,0.0,0.9812332439678284,0.8297512364133268,0.8411408034960982
Logistic Regression,random,1,0.6863270777479893,0.0,0.9436997319034852,0.7260850856186406,0.7219794464614989
TemporalPointNet-attn,random,1,0.5093833780160858,0.0,0.8552278820375335,0.5642244963939409,0.5012354105951602
TemporalPointNet (OURS),random,1,0.4477211796246649,0.0,0.8257372654155496,0.3597048682573863,0.34189379658398594
TemporalPointNet-mean (ABLATION),random,1,0.4316353887399464,0.0,0.7533512064343163,0.4366386481255333,0.3568066731987623
PointNetLite,random,1,0.42359249329758714,0.0,0.7426273458445041,0.45492698429126127,0.40184581981890644
Majority baseline,random,1,0.2064343163538874,0.0,0.4745308310991957,0.09090909090909091,0.031111111111111114
